,Title,Desc_of_movies
4030,Superman Returns ,"When Superman returns to Metropolis, he finds that Lois Lane has moved on to another man and Lex Luthor is developing a new plan to rule the world."
4031,Support the Girls ,"Over the course of one long day, a frustrated manager tries to keep her breastaurant in line, despite all the cleavage and crass customers."
4032,Sur Sapata ,A group of small-town students goes for glory by competing in a statewide kabaddi tournament 25 years after their school's championship victory.
4033,Sur: The Melody of Life ,"A renowned music teacher mentors a promising young singer, but when her fame begins to overshadow his own, he lets jealousy and competition take over."
4034,Surga Yang Tak Dirindukan ,"After saving an unwed expectant mother who's injured in a car accident, a happily married man takes her as his second wife -- without telling his first."
4035,Surga Yang Tak Dirindukan 2 ,"In this sequel to the award-winning 2015 film, Pras, Arini and Meirose face new challenges that could change the dynamic of their unique love triangle."
4036,Survive the Night ,A trauma doctor and his family are held hostage by criminals after a botched armed robbery leaves one of them wounded and in need of an operation.
4037,Suzzanna: Buried Alive ,"After a pregnant woman is murdered, her spirit seeks revenge against her increasingly terrified killers, who are determined to finish her off for good."
4038,Svaha: The Sixth Finger ,A minister who researches religious cults turns to his Buddhist monk friend for help investigating a new group with mysterious origins.
4039,"Swades: We, the People (Swades) ",An Americanized NASA scientist returns to his native India on a business trip and searches for the nanny who helped raise him.
4040,Swami ,"After she enters into an arranged marriage, a spirited and intellectual young woman tries to adjust to life with a man who was not her choice."
4041,The Swan Princess: The Mystery of the Enchanted Treasure ,"A witch destroys the peace in Swan Lake by stealing its treasures, including Princess Odette. Can Prince Derek and the animals return her to safety?"
4042,Swearnet Live ,"&#39;Trailer Park Boys&#39; John Paul Tremblay, Robb Wells and Mike Smith host this foulmouthed live kick-off of their Web-based Swearnet network."
4043,Swearnet: The Movie ,"After losing a TV network deal, the Trailer Park Boys launch their own Internet series, but they soon confront personal and creative differences."
4044,Swedish Dicks ,"A former stuntman and a floundering DJ team up as private investigators, solving outlandish cases and sparring with their more competent competitors."
4045,Sweeney Todd: The Demon Barber of Fleet Street ,"After being falsely imprisoned, a vengeful murderer covers his tracks by enlisting the help of a baker whose meat pies become the toast of London."
4046,The Sweetest Thing ,"After a brief nightclub encounter with a handsome real-estate agent, a party girl and her best friends embark on a wild road trip to track him down."
4047,Swiped ,"When two college roommates develop a groundbreaking hookup app, casual affairs -- and complications -- soon run rampant on campus."
4048,The Switch ," Still single and worried about her biological clock, 30-something Kassie decides to pursue motherhood with the help of a sperm donor."
4049,Sword Masters: Two Champions of Shaolin (Two Champions of Death) ,"Shaolin warrior Tung Chien-chen is injured in battle against the hated Wu Tang clan, and nursed back to health by a knife-throwing master. As he recovers, Tung learns this deadly art, and also falls in love with his teacher's daughter."
4050,Sword of Trust ,An offbeat foursome takes a wild journey through the Southern belt of denial to sell a relic purporting to prove the South won the Civil War.
4051,Sylvanian Families: Everyone's Big Dream Flying in the Sky ,"In the Hazelnut Chipmunk Family, Dominic is a little boy who loves to play, but a big moment will make him more grown-up on one memorable day."
4052,Sylvia ,"When a man outgrows a childhood friendship and commits to marrying his girlfriend, obsession and spiritual warfare soon disrupt his peaceful life."
4053,System Crasher ,"Traumatized, violent and yearning for love, 9-year-old Benni bonds with a gruff mentor as child-services workers struggle to find her a home."
4054,T2: Trainspotting ,"Renton, Spud, Sick Boy and Begbie cross paths 20 years later, and a small ""business"" opportunity crops up -- but no one's forgotten Renton's betrayal."
4055,Taare Zameen Par (Like Stars on Earth) ,"When daydreamer Ishaan is sent to boarding school, an unconventional art teacher tries to help the imaginative student discover his true identity."
4056,Take Me ,"With his simulated kidnapping business flagging, an entrepreneur jumps at a weekend abduction opportunity -- only to find the job isn't what it seems."
4057,Take the 10 ,Two buddies working dead-end cashier jobs endure a mind-blowing series of events on their quest to get to the hip-hop show of their lives.
4058,Take Your Pills ,"In a hypercompetitive world, drugs like Adderall offer students, athletes, coders and others a way to do more -- faster and better. But at what cost?"
4059,Takers ,A motley crew of bank robbers plans their next heist after a former colleague convinces them to target an armored car carrying $20 million.
4060,Talaash ,"Set in the jumbled landscape of Mumbai, this mystery drama centers on a police inspector who's trying to cope with the collapse of his marriage."
4061,The Tale of The Princess Kaguya ,A magical nymph plucked from a bamboo stalk rapidly grows up into a beautiful woman who is pursued by a stable of smitten suitors.
4062,Tales from Earthsea ,"As their world decays, an Archmage guides a troubled prince with a dark side on a journey to find the source of evil and save the women they love."
4063,Tall Girl ,"After years of slouching through life, 6-foot-1 teen Jodi resolves to conquer her insecurities and gets caught up in a high school love triangle."
4064,Talladega Nights: The Ballad of Ricky Bobby ," NASCAR idol Ricky Bobby is at the top of his game until Formula One driver Jean Girard bests him on the track, sending him into a downward spiral."
4065,Tallulah ,"While searching for her ex-boyfriend, a young drifter impulsively kidnaps a baby from a neglectful mother and pretends the child is her own."
4066,Tamasha ,"Meeting while on vacation, Ved and Tara sense a connection but vow to keep their real identities a secret. Years later, their paths cross again."
4067,Tanu Weds Manu ," When London-based doctor Manu reluctantly returns to India to find a bride, he meets the girl of his dreams -- only to discover she loves another man."
4068,Taramani ,"A traditional man and an independent woman share a connection, but they must learn to navigate their vastly different experiences and expectations."
4069,Tarek's Situation (Zarf Tarek) ,"Asked by his boss to share a woman's personal information, a mobile phone sales rep falls in love with the target whose data he's stealing."
4070,Target ,"Trapped in an empty building, nine people are forced to play a lethal game. All their movements will be recorded, and only one player can survive."
4071,Tarif de nuit ,"A night out in Paris quickly unravels when two friends provoke the wrong taxi driver, who's after something bigger than cab fare."
4072,Tattah ,A down-on-his-luck man must prove he's not as hapless as he seems when the woman he's on a date with is suddenly kidnapped.
4073,Tatu ,"Doubting her future as a nun, a woman attempts to have a child, triggering a mystic tribal prophecy that could force her to make a godly sacrifice."
4074,TAU ,"Kidnapped by an inventor who uses her as a test subject to perfect his robotic AI, a street-smart young woman tries to escape her high-tech prison."
4075,Taxi Ballad ,A taxi driver new to Beirut forms an unlikely bond with a bored American Pilates instructor who loves hearing him tell stories about his past.
4076,Taxi Driver (Taxi Driver: Oko Ashewo) ," After his father dies, a young mechanic moves to the city to drive the old man's taxi, and encounters assassins and a motley crew of urban weirdos."
4077,Taylor Swift reputation Stadium Tour ,"Taylor Swift takes the stage in Dallas for the reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic."
4078,Taylor Tomlinson: Quarter-Life Crisis ,"She's halfway through her 20s -- and she's over it. Too old to party, too young to settle down, comedian Taylor Tomlinson takes aim at her life choices."
4079,Tayo the Little Bus Movie: Mission Ace ,"After he loses his favorite racing car, Duri ventures to a mysterious, magical land filled with toys that have been thrown away."
4080,Team America: World Police ,"In this musical satire, an all-marionette police force takes on the challenging role of keeping the peace on a troubled planet."
4081,Team Foxcatcher ,"With never-before seen home video, this film recounts the paranoid downward spiral of John E. du Pont and the murder of Olympic wrestler Dave Schultz."
4082,Team Kaylie ," After a brush with the law, teen celebrity Kaylie Konrad swaps social stardom for court-ordered chaos as a middle school wilderness club leader."
4083,Tee Shot: Ariya Jutanugarn ,"This biopic follows pro golfer Ariya Jutanugarn's journey to the LPGA tour, from child prodigy to her number-one ranking in the world."
4084,Teefa in Trouble ,"A gangster hires goon Teefa to abduct his friend's daughter for an arranged marriage, but things get tricky when Teefa develops feelings for the girl."
4085,Teen Aur Aadha ,"At a 50-year-old house that served as a school, a brothel, and now a home, tales unfold of the residents who have lived there, longing for an escape."
4086,Teen Titans Go! To the Movies ,"Feeling left out of the superhero movie craze, the Teen Titans plan to boost their popularity by turning the supervillain Slade into their archnemesis."
4087,Teenage Mutant Ninja Turtles ," With New York City in the criminal clutches of the villainous Shredder, four unlikely vigilantes rise from their sewer lair to take back the city."
4088,Teenage Mutant Ninja Turtles , Master Splinter whips the four Ninja Turtles back into shape to defeat monsters running amok in New York in this animated adventure.
4089,Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,"The evil Shredder decides that ooze is what gives the ninja turtles their power, so he obtains some of the toxic junk and creates dangerous mutants."
4090,Teenage Mutant Ninja Turtles III ,"When a magic scepter causes April to switch places with a rebellious samurai, the turtles time-travel to feudal Japan to rescue their plucky sidekick."
4091,Teenage Mutant Ninja Turtles: The Movie ,"After exposure to a strange, glowing ooze, four mutant turtles train as ninjas in the sewers and fight crime wherever they find it."
4092,Tell Me Who I Am ,"In this documentary, Alex trusts his twin, Marcus, to tell him about his past after he loses his memory. But Marcus is hiding a dark family secret."
4093,Tellur Aliens ,Three teenaged best friends on the planet Telluria begin an incredible journey of adventure as they fight against the most evil being in the universe.
4094,Temple ,Three unsuspecting American tourists visit a mysterious mountain shrine in Japan despite uncanny warnings from local inhabitants to stay away.
4095,Temporada de Caza (Hunting Season) ,Animosity gives way to love and forgiveness when an angry teenager reunites with his estranged biological father in the wilds of Patagonia.
4096,Ten Years ,"Five shorts reveal a fictional Hong Kong in 2025, depicting a dystopian city where residents and activists face crackdowns under iron-fisted rule."
4097,The Tenth Man ,"After spending much of his adult life in New York, an affable economist returns home to Buenos Aires and tries to reconnect with his aloof father."
4098,Tere Naal Love Ho Gaya ,"Mini isn't eager to wed the rich suitor who's been chosen for her, so she stages her own kidnapping and runs off with a man who works for her father."
4099,The Terminal ," After a coup d'etat explodes in his homeland, Viktor Navorski is stranded at Kennedy Airport, where he's holding a passport that nobody recognizes."
4100,Terminator Genisys ," Thirty years after judgment day, John Connor sends a friend back to save his mother and stop the conflagration, unaware that things have changed."
4101,Test Patterns ," This is a collection of video test patterns organized by source resolution and native frame rate. The resolution indicated in the pattern's title identifies the title's source resolution, and therefore, the stream set's maximum encoded resolution. The frame rate indicated in the pattern's title identifies the title's source frame rate. Frame rates greater than 30fps will be presented natively where devices allow."
4102,Tezz ,This high-octane thriller tells the story of a man on a mission to reclaim what was taken from him and the agent who's determined to stop him.
4103,Thaandavam ,"In London, a mysterious blind man named Kenny appears to be an assassin who uses echolocation to kill, but there is more to Kenny than meets the eye."
4104,Thackeray (Hindi) ,"From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray."
4105,Thackeray (Marathi) ,"This biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray, from controversial cartoonist to powerful Mumbai politician."
4106,Thambi ,"As a tip leads a local politician to his long-estranged son, his daughter has doubts about whether the young man is truly family or just an impostor."
4107,Thank You ,Three cheating husbands end up paying the price for their infidelities when their spouses hire a private detective -- who falls for one of the wives.
4108,Thank You for Your Service ,"When three Iraq War veterans return to Kansas, their struggles to readapt as civilians reveal harsh realities about life after the battlefield."
4109,That Thing Called Tadhana ,"A devastating breakup with her boyfriend may be the start of a new beginning for Mace, thanks to an adventurous and kind stranger named Anthony."
4110,That's My Boy ,Father-son tensions flare when a disagreeable dad decides to move in with his son and his son&#39;s fianc&eacute;e right before their wedding.
4111,the girl from the song ,An aspiring musician follows a carefree college student to Burning Man in Nevada's Black Rock Desert to declare his love to her and find himself.
4112,the goop lab with Gwyneth Paltrow ,"Leading with curiosity, Gwyneth Paltrow and her goop team look at psychedelics, energy work and other challenging wellness topics."
4113,#The Jews ,"In counseling sessions with his therapist, preoccupied Yvan shares stories of anti-Semitism and what it's like to live as a Jew in modern France."
4114,THE MECHANIC ,"When his mentor is murdered, lone hit man Arthur Bishop trains the man's son, Steve McKenna, in the ways of the professional kill."
4115,THE RUNNER , A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
4116,Theeram ,"An auto rickshaw driver harbors a deep affection for a young woman, but his troubled past threatens to stand between them."
4117,Theeya Velai Seyyanum Kumaru ,"When shy Kumar gets stuck on the losing end of a love triangle, the Love Doctor, Mokia, has a strategy for Kumar to win the love of his life."
4118,Their Finest ," With public morale in wartime Britain at an all-time low, an ex-secretary is hired to write feminine flair into a propaganda film."
4119,Them That Follow ,"In a mountain community of Pentecostal snake handlers, a woman hides a devastating secret as she prepares to wed a man chosen by her preacher father."
4120,Theo Von: No Offense ," Southern charmer Theo Von offers up a twisted take on his dating mishaps, meeting Brad Pitt, chasing down fugitive chimpanzees and more."
4121,theo who lived ,American journalist Theo Padnos retraces the Middle Eastern journey that led to his 2012 kidnapping and brutal torture by an al-Qaida faction.
4122,There's Something in the Water ,This documentary spotlights the struggle of minority communities in Nova Scotia as they fight officials over the lethal effects of industrial waste.
4123,They'll Love Me When I'm Dead ,"Actors, crew members and others who were there discuss the tumultuous creation of Orson Welles's final, unfinished film, ""The Other Side of the Wind."""
4124,"Thi Mai (Thi Mai, rumbo a Vietnam) ","Along with her two friends, a determined woman travels to Vietnam to bring home the baby her recently deceased daughter had planned to adopt."
4125,Thiago Ventura: POKAS ,"In a rollicking special, Thiago Ventura jokes about life in the hood, social issues and more, explaining how actions speak louder than words."
4126,The Thief and the Imbecile (El-Harami wa el-Abit) ,"A street beggar befriends a man who lost his eye in a brawl, unaware that his new acquaintance is plotting to make him his unwitting organ donor."
4127,Think Like a Man ," Armed with advice from a best-selling book, four women set out to solve their relationship problems -- until the men in their lives get wise."
4128,The Third Party ,"When aspiring fashion designer Andi reconnects with her ex-boyfriend Max, she's surprised to learn that he's in a relationship with a man."
4129,This Christmas ,"Gathering to celebrate Christmas together for the first time in four years, the Whitfield clan uses the opportunity to air their true feelings."
4130,This Earth of Mankind (Bumi Manusia) ,A Javanese royal and half-Dutch woman fall in love as Indonesia rises to independence from colonial rule. Based on Pramoedya Ananta Toer's famed novel.
4131,This Is Personal ,This documentary explores how activists mobilized millions to participate in the Women's March following the 2016 inauguration of President Trump.
4132,This Is the End ," Playing themselves in this witty black comedy, Seth Rogen and a bevy of Hollywood notables are stuck together at a party when the apocalypse dawns."
4133,This Is Us ," A couple expecting triplets find themselves with a brood they weren't anticipating, thanks to a twist of fate that shapes their future as a family."
4134,This Was Tomorrow ,"The Tomorrowland music festival marks its 10th anniversary in Belgium, the U.S. and Brazil, with all the diverse excitement of the annual event."
4135,Thithi ,"In a South Indian village, a centenarian's funeral brings together his free-spirited son, inheritance-hungry grandson and girl-crazy great-grandson."
4136,Thomas & Friends: Steam Team to the Rescue ,Thomas and the steam trains spring into action when Porter and the diesel engines run into a series of accidents that throw their deliveries off track.
4137,Thor ," Powerful thunder god Thor is stripped of his power and banished by his father, Odin, forced to live among humans on Earth to learn humility."
4138,Thor: Tales of Asgard ,"Thor, the Marvel comic book character, comes to life in this animated feature that explores his earliest adventures with his brother Loki."
4139,Thor: The Dark World ,"The God of Thunder strikes again as he fights to save the Nine Realms from mysterious villain Malekith, who plans to make the entire universe go dark."
4140,Thoroughbreds ,Rich teens Lily and Amanda rekindle a friendship and discover a common passion: They both hate Lily's despicable stepfather. A killer plan is born.
4141,Thottappan ,"When his partner in crime goes missing, a small-time crook's life is transformed as he dedicates himself to raising the daughter his friend left behind."
4142,The Three Deaths of Marisela Escobedo ,This documentary examines a mother's tireless crusade to jail her daughter's murderer after Mexico's justice system failed to do so.
4143,Three Wives One Husband ,"A film crew captures a year in the life of modern polygamist families at Rockland Ranch, a community for fundamentalist Mormons in the Utah desert."
4144,Three-Quarters Decent (Mohtaram Ela 1/4) ,"Determined to fight corruption in his country, a newspaper cartoonist debuts a new take-no-prisoners attitude."
4145,Through It All (海的儿子) ,"Two brothers start a new life in Singapore, where they run into a childhood friend who falls in love with the elder while attracting the younger."
4146,Through My Father's Eyes: The Ronda Rousey Story ,This documentary chronicles former Olympian and UFC champion Ronda Rousey's ascent to iconic status in the world of mixed martial arts.
4147,The Throwaways ,"Given a choice between assisting the CIA or life in prison, a notorious hacker agrees to help the government and recruits a team of misfits to assist."
4148,Thug Life ,A get-rich-quick scheme goes awry when a group of friends stumbles onto a dangerous conspiracy and wind up getting mistaken for the bad guys.
4149,Thunder Road ,"In the South, a struggling cop juggles divorce and the loss of his mother while trying to connect with his daughter and prevent a downward spiral."
4150,Thunderbolt ,"A P-47 Thunderbolt squadron is shown in preparation, at play and in bombing raids aiming to halt Nazi supply lines and aid Allied ground troops."
4151,Tiffany Haddish: Black Mitzvah ,"On her 40th birthday, Tiffany Haddish drops a bombastic special studded with singing, dancing and raunchy reflections on her long road to womanhood."
4152,Tiffany Haddish: She Ready! From the Hood To Hollywood! ,Comedic breakout Tiffany Haddish delivers a riotous stand-up ripe with the unpretentious and filthy tales of her meteoric rise to stardom.
4153,Tig ,Comedian Tig Notaro announced her cancer diagnosis at what became a legendary stand-up set in 2012. Follow her search for humor amid devastating news.
4154,Tig Notaro Happy To Be Here ,"Comedian Tig Notaro unleashes her inner prankster in a playful stand-up special packed with funny anecdotes, parenting confessions and more."
4155,Tiger (Sangre en la boca) ,"Aging boxer Ramo0301n regains his vitality when he meets fierce young boxer Deborah, their unbridled passion causing him to forsake everyone around him."
4156,Tiger ,"Imprisoned for drug smuggling as a child, a young man uses the law he studied while in jail to take revenge on those who wronged him."
4157,The Tiger Hunter ,"It's 1979, and engineer Sami is excited to leave his Indian village for a job in Chicago. But he soon runs into problems achieving his American dream."
4158,Tigertail ,A man reflects on the lost love of his youth and his long-ago journey from Taiwan to America as he begins to reconnect with his estranged daughter.
4159,Tik Tok ,A police officer and a psychologist learn of a sinister threat at a highly anticipated soccer match and team up in hopes of preventing disaster.
4160,Tikli and Laxmi Bomb ,Two frustrated sex workers cut out the middlemen from their business affairs and start a cooperative that's run entirely by women.
4161,Tim Allen: Men Are Pigs ,"Standup comedian Tim Allen delivers a set dedicated to ""men stuff"" like lawn care, power tools and why he grunts like an animal."
4162,Tim Allen: ReWires America ,"Standup star Tim Allen storms the stage for a set chock-full of observations about powerful cars, beautiful lawns and more of the things he loves."
4163,Tim Minchin And The Heritage Orchestra Live ,"Flanked by a full orchestra, Tim Minchin takes the Royal Albert Hall by storm with a wonderfully witty evening of satirical musical comedy."
4164,Tim Minchin: So F**king Rock ,Comedic pianist Tim Minchin performs a host of his catchy songs that touch on everything from the Middle East to the healing power of canvas bags.
4165,Time Out ,"Raised in the privileged bubble of Delhi's elite, a teen is compelled to question his outlook on life and love when his older brother comes out as gay."
4166,"Time Share (
Tiempo compartido) ",Husband and father Pedro becomes increasingly suspicious that a series of mishaps at a resort during a family vacation are part of a sinister plan.
4167,Time to Hunt ,"Wanting to leave their dystopian world behind for a faraway paradise, three outlaws plot a money heist -- and draw the attention of a vicious killer."
4168,Time Trap ,"While searching for their missing archaeology professor, a group of students discovers a cave where time passes differently than it does on the surface."
4169,Timeless ," A historian, a soldier and a programmer embark on a time-hopping adventure in pursuit of shadowy criminals who aim to disrupt the temporal continuum."
4170,Timeless Season ,"A decade after college, a wake reunites five female friends struggling with illness, infidelity, toxic in-laws, spousal abuse and other life issues."
4171,Tini: The New Life of Violetta ,"After completing a world tour, a teen pop star spends the summer at an Italian villa to recover from heartbreak and grow into a mature artist."
4172,Tinker Bell and the Legend of the NeverBeast ,"When suspicious scout fairies scheme to capture the fearsome-looking NeverBeast, Tinker Bell and Fawn set out to save the wondrous creature."
4173,Tiny House Nation ," Traveling the U.S., host John Weisbarth and expert Zack Giffin are helping families prep for the tiny lifestyle and create hypercustomized mini homes."
4174,The Titan ,"On a bleak future Earth, a soldier endures a radical genetic transformation to save humanity. But his wife fears he's becoming more creature than man."
4175,Titanic ," Distraught over her engagement to a cruel millionaire, a young woman falls for a struggling artist as they set sail across the Atlantic."
4176,To All the Boys I've Loved Before ,"When her secret love letters somehow get mailed to each of her five crushes, Lara Jean finds her quiet high school existence turned upside down."
4177,To All the Boys: P.S. I Still Love You ,"Lara Jean is officially Peter's girlfriend, so everything should be perfect, right? But feelings grow complicated when an old crush reenters her life."
4178,The To Do List , A sexually inexperienced high school graduate comes up with a list of erotic activities she'd like to work her way through before starting college.
4179,"To Each, Her Own ","Just as Simone works up the courage to tell her conservative Jewish family she's a lesbian, she finds herself attracted to a male Senegalese chef."
4180,To the Bone ,"Ellen, a 20-year-old with anorexia nervosa, goes on a harrowing, sometimes funny journey of self-discovery at a group home run by an unusual doctor."
4181,Toast of London ,"After a divorce and fatal career move, a classically trained British stage actor navigates single life with his odd roommate and takes on horrid jobs."
4182,Toc Toc ,"A group of patients with OCD wait for their flight-delayed doctor to arrive for their appointments, forcing them to endure each other's oddball quirks."
4183,Todd Barry: Spicy Honey ,"With bone-dry wit, stand-up comic Todd Barry dissects texting emergencies, Hitler's taste in wine, pricey soap, cheap pizza and much more."
4184,Todd Glass: Act Happy ,Try to keep up as comedian Todd Glass delivers rapid-fire stand-up that bounces from his heart attack to his coming out to how to eat a Kit Kat.
4185,Todd Glass: Stand-Up Special (Todd Glass Talks About Stuff) ,"Standup comedian Todd Glass gets right down to it, with sly observations on accepting directions, denying compliments and being afraid of the dark."
4186,Todo lo que sería Lucas Lauriente ,"In his stand-up set, Argentine comic Lucas Lauriente animatedly rattles off reflections on different generations and begs kids to stop saying ""goals."""
4187,Todo Sobre El Asado ,"This quirky examination of Argentina's culture, customs and cuisine slices into the country's traditional barbecue -- which is both meal and ritual."
4188,Together ,"Spanning 30 years, a group of dedicated and diverse friends experiences happiness and hardship in a newly independent Singapore."
4189,Together For Eternity ," A scheming matriarch plots to cut off her disabled stepson and his wife from the family fortune, creating a division within the clan."
4190,Toilet: Ek Prem Katha ,"On her first day of marriage, a woman leaves her husband upon learning his home lacks a toilet, sparking a quixotic quest to acquire modern sanitation."
4191,Toll Booth ,"A toll booth operator's mundane life is upended when he's reassigned to a remote spot, where he finds intriguing strangers -- and a new side to himself."
4192,Tom Papa Live in New York City ," Comedian Tom Papa riffs on the trials of married life, fatherhood in the 21st century, domestic pets and more in his stand-up show."
4193,Tom Papa: You're Doing Great! ,"Comedian Tom Papa takes on body image issues, social media, pets, Staten Island, the ""old days"" and more in a special from his home state of New Jersey."
4194,Tom Segura: Ball Hog ,"Tom Segura scores laughs with uncomfortably candid stories about mothers, fathers, following your dreams -- and other things you'd rather not think about."
4195,Tom Segura: Completely Normal , Levelheaded stand-up Tom Segura shares offhand appraisals on hotels and opens up about his hobbies and digestive ailments in this comedy special.
4196,Tom Segura: Disgraceful ,"Tom Segura gives voice to the sordid thoughts you'd never say out loud, with blunt musings on porn, parking lot power struggles, parenthood and more."
4197,Tom Segura: Mostly Stories ,"The bearded, bawdy and comically bitter Tom Segura gets real about body piercings, the &#39;Area 51&#39; of men&#39;s bodies, and the lie he told Mike Tyson."
4198,Tomb Raider ,"Seven years after her wealthy dad's mysterious disappearance, Lara Croft embarks on a quest to discover his fate using the clues he left behind."
4199,Tong: Memories ,A tough young man with a short temper and no patience for bullies gains a legendary reputation as the best street fighter in Busan.
4200,Toni Morrison: The Pieces I Am ,Late author Toni Morrison talks about life and writing in this documentary exploring the ways her work reflects themes of race and American history.
4201,Tony Robbins: I Am Not Your Guru ,Tony Robbins' clients swear by his unorthodox life coaching methods. A revealing film goes behind the curtain at his annual mega-event.
4202,Too Hot to Handle ,"On the shores of paradise, gorgeous singles meet and mingle. But there's a twist. To win a $100,000 grand prize, they'll have to give up sex."
4203,Toot-Toot Cory Carson: The Chrissy ,"The Carson kids win a talent show with a dance that Cory created. But when ""The Chrissy"" catches on, his little sister gets all of the attention."
4204,Tootsies & The Fake ,"After knocking a celebrity unconscious before a huge job, a bumbling pack of pals tries to avoid a lawsuit by replacing her with a look-alike."
4205,Top Grier ,"Social media star Hayes Grier returns to North Carolina for a reality series packed with action sports, pranks and romantic escapades."
4206,Tope: The Bait ,"The tales of an eccentric aristocrat, a tightrope walking nomad and a postman-turned-soothsayer unspool in this visual poem of rural life in India."
4207,Toro ,Ex-con Toro's brother and former partner in crime makes a desperate plea for help that may put Toro back behind bars ... if he survives at all.
4208,Total Recall ,"Bursting with action sequences, this remake of the 1990 sci-fi classic follows a man on the run after a mind-bending procedure goes horribly wrong."
4209,Tottaa Pataaka Item Maal ,"Exasperated with living in perpetual fear for their safety, four women kidnap a man to show him the realities of being female in Delhi."
4210,The Tourist ,An American tourist seeking solace for his shattered heart instead finds it in danger again after encountering a beautiful Interpol agent.
4211,Tracers ," When a bike messenger falls into debt with organized criminals, a sexy woman draws him into her high-stakes world of parkour, teaching him new skills."
4212,Tracy Morgan: Staying Alive ,"In his first special since his serious car accident, Tracy Morgan cracks jokes about life in a coma, his second marriage and his family's dark side."
4213,The Trader (Sovdagari) ,"A traveling trader provides a window into rural life in the Republic of Georgia, where potatoes are currency and ambition is crushed by poverty."
4214,Traffic Signal ,"Four characters coexist at an urban traffic signal, where all manage to make a meager living until events threaten the source of their livelihood."
4215,Trailer Park Boys Live In F**kin' Dublin ,The boys head to Ireland after winning a contest to see Rush but are arrested by immigration and must perform a community service puppet show.
4216,Trailer Park Boys: Countdown to Liquor Day ,"After their latest jail stint, boozy pals Julian, Bubbles and Ricky plan to go legit but learn trailer park manager Jim aims to demolish their homes."
4217,Trailer Park Boys: Don't Legalize It ,"After his latest money-making plan fails, Julian concocts his greasiest scheme ever -- which involves doing business with his archenemy, Cyrus."
4218,"Trailer Park Boys: Drunk, High and Unemployed: Live In Austin ","Ricky, Julian and Bubbles bring their trailer park humor out onto the stage for a night of bravado, schemes and an intoxicated acting demo."
4219,Trailer Park Boys: Say Goodnight to the Bad Guys ,"A year after the Season 7 finale, the boys are poised to live the good life. But an old enemy throws a wrench in things once again."
4220,Trailer Park Boys: The Animated Series ," Nova Scotia's favorite miscreants have always been super sketchy. Now, carrying on from the Season 12 finale, the boys have become complete cartoons."
4221,Trailer Park Boys: The Movie ,"In this feature-length adventure, Ricky, Julian and Bubbles -- just out of jail -- plan the lamest scheme yet: to get rich by stealing tons of change."
4222,Train of the Dead (Chum thaang rot fai phii) ,Five teenagers on the lam hide out in an empty train. Little do they realize that the train is inhabited by ghosts on their way to final judgment.
4223,Tramps ,"Pulled into a shady briefcase swap for different reasons, young strangers Danny and Ellie spend an eventful night together when the deal goes wrong."
4224,Transformers ," As the Autobots and the Decepticons struggle for control of Earth's resources, young Sam Witwicky is unaware he is mankind's only hope for survival."
4225,Transformers: Dark of the Moon ," When Optimus Prime learns of a downed Transformers ship on the moon, he leads a mission to rescue the pilot left behind: his mentor, Sentinel Prime."
4226,The Transporter Refueled ," The retired mercenary is forced to return to action when his father is abducted by a femme fatale, drawing him into battle with a Russian mobster."
4227,The Trap ,A man returns home to Atlanta to try and turn around his family's struggling restaurant with the help of a new chicken recipe.
4228,Trauma Center ,"The eyewitness to two murders, an injured woman gets help from a detective to hide out in a deserted trauma center that's not as safe as it seems."
4229,Travel Mates 2 ,"When struggling singer Onur decides to return to his old job, incurable klutz Şeref organizes a surprise tour full of pitfalls and mishaps."
4230,Travis Scott: Look Mom I Can Fly ,"While crafting his Grammy-nominated album ""Astroworld,"" Travis Scott juggles controversy, fatherhood and career highs in this intimate documentary."
4231,Tread ,This documentary reconstructs the pivotal moments that drove a man on a rampage to destroy a small town with a bulldozer he fortified in secret.
4232,The Treasure (El-Kanz: El-Haqiqah wa el-Khayal 1) ," A quest for lost treasure frames an epic historical drama of Egypt in three epochs: the time of the pharaohs, the Ottoman Empire and the modern era."
4233,The Tree of Blood (El árbol de la sangre) ,"As a young couple write the story of their families' shared history, both reveal their relatives' dark secrets and one must make a painful confession."
4234,Trespass ,A husband and wife find themselves pushed to their absolute limit when they're held for ransom by brutal thugs who invade their home.
4235,Trevor Noah: Afraid of the Dark ,"The ""Daily Show"" host ponders the perils of naming countries, how traffic lights turn New Yorkers invincible and why you shouldn't drink in Scotland."
4236,Trevor Noah: Son of Patricia ,"""Daily Show"" host Trevor Noah touches on tacos, runaway snakes, camping, racism immunity and lessons he learned from his mother in this comedy special."
4237,The Trial of the Chicago 7 ,What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.
4238,The Tribe ,"An executive-turned-viral sensation loses his reputation and his memory, but finds a new life with his biological mother and her empowered dance group."
4239,"Trikal (Past, Present, Future) ","A Goan native returns to his now-derelict, palatial childhood home, recalling his family's interpersonal drama during the end of Portuguese rule."
